enderecos,lon,lat,endereco_completo
"R.DOS PIONEIROS,400 - CENTRO, Agrolândia - SC, 88420-000",-49.8271882,-27.3996813,"R.DOS PIONEIROS,400 - CENTRO, Agrolândia - SC, 88420-000"
"ALAMEDA TROMBUDO ALTO, 230 - CENTRO, Agrolândia - SC, 88420-000",-49.8288133,-27.4051342,"ALAMEDA TROMBUDO ALTO, 230 - CENTRO, Agrolândia - SC, 88420-000"
"R.CAP.SILVA BORGES,660 - CENTRO, Aguaí - SP, 13860-000",-46.977417,-22.0573798,"R.CAP.SILVA BORGES,660 - CENTRO, Aguaí - SP, 13860-000"
"RUA MAJOR BRAGA, NUM 759 - CENTRO, Aguaí - SP, 13860-000",-46.9784807,-22.0587181,"RUA MAJOR BRAGA, NUM 759 - CENTRO, Aguaí - SP, 13860-000"
"RUA MAJOR BRAGA, 731 - CENTRO, Aguaí - SP, 13860-000",-46.9784764,-22.0584573,"RUA MAJOR BRAGA, 731 - CENTRO, Aguaí - SP, 13860-000"
"RUA XV DE NOVEMBRO, 531 - CENTRO, Aguaí - SP, 13860-000",-46.9784163,-22.0579268,"RUA XV DE NOVEMBRO, 531 - CENTRO, Aguaí - SP, 13860-000"
"RUA MAJOR BRAGA, 610 - CENTRO, Aguaí - SP, 13860-000",-46.9788023,-22.0573632,"RUA MAJOR BRAGA, 610 - CENTRO, Aguaí - SP, 13860-000"
"AVENIDA CONCORDIA, NUM 1039 - CENTRO, Agudo - RS, 96540-000",-53.2505275,-29.6443604,"AVENIDA CONCORDIA, NUM 1039 - CENTRO, Agudo - RS, 96540-000"
"AV. CONCORDIA, 735 - CENTRO, Agudo - RS, 96540-000",-53.247408,-29.644356,"AV. CONCORDIA, 735 - CENTRO, Agudo - RS, 96540-000"
"RUA TREZE DE MAIO,675 - CENTRO, Agudos - SP, 17120-000",-48.9888975,-22.4728445,"RUA TREZE DE MAIO,675 - CENTRO, Agudos - SP, 17120-000"
"RUA TREZE DE MAIO, NUM 320 - CENTRO, Agudos - SP, 17120-009",-48.9887569,-22.4697518,"RUA TREZE DE MAIO, NUM 320 - CENTRO, Agudos - SP, 17120-009"
"RUA 7 DE SETEMBRO, 640 - CENTRO, Agudos - SP, 17120-000",-48.9900218,-22.4725883,"RUA 7 DE SETEMBRO, 640 - CENTRO, Agudos - SP, 17120-000"
"RUA 13 DE MAIO, 450 - CENTRO, Agudos - SP, 17120-000",-48.9889146,-22.4709169,"RUA 13 DE MAIO, 450 - CENTRO, Agudos - SP, 17120-000"
"AV. SEBASTIANA LEITE, 405 - CENTRO, Agudos - SP, 17120-000",-48.9896303,-22.4720667,"AV. SEBASTIANA LEITE, 405 - CENTRO, Agudos - SP, 17120-000"
"AV. BRASIL, 92 - CENTRO, Agudos do Sul - PR, 83850-000",-49.3337861,-25.989069,"AV. BRASIL, 92 - CENTRO, Agudos do Sul - PR, 83850-000"
"PCA.JOAO PINHEIRO,8 - CENTRO, Aimorés - MG, 35200-000",-41.060857,-19.493395,"PCA.JOAO PINHEIRO,8 - CENTRO, Aimorés - MG, 35200-000"
"AVENIDA RAUL SOARES, NUM 104 - CENTRO, Aimorés - MG, 35200-000",-41.062178,-19.492007,"AVENIDA RAUL SOARES, NUM 104 - CENTRO, Aimorés - MG, 35200-000"
"AV. DR. AMERICO MARTINS DA COSTA, 70 - CENTRO, Aimorés - MG, 35200-000",-41.0616223,-19.4920511,"AV. DR. AMERICO MARTINS DA COSTA, 70 - CENTRO, Aimorés - MG, 35200-000"
"R.RAUL FEITOSA,S/N - CENTRO, Aiuaba - CE, 63575-000",-40.122714,-6.5723896,"R.RAUL FEITOSA,S/N - CENTRO, Aiuaba - CE, 63575-000"
"AV.CORONEL JOSE JUSTINIANO, 10 - CENTRO, Aiuruoca - MG, 37450-000",-44.603901,-21.975074,"AV.CORONEL JOSE JUSTINIANO, 10 - CENTRO, Aiuruoca - MG, 37450-000"
"R.DA MATRIZ,778 - CENTRO, Ajuricaba - RS, 98750-000",-53.7704908,-28.2388893,"R.DA MATRIZ,778 - CENTRO, Ajuricaba - RS, 98750-000"
"RUA HENRIQUE SCHAMADEKE, 22 - CENTRO, Ajuricaba - RS, 98750-000",-53.7705158,-28.2393531,"RUA HENRIQUE SCHAMADEKE, 22 - CENTRO, Ajuricaba - RS, 98750-000"
"PRACA CEL ELISIO SOBREIRA, S/N - CENTRO, Alagoa Grande - PB, 58388-000",-35.6295848,-7.0390367,"PRACA CEL ELISIO SOBREIRA, S/N - CENTRO, Alagoa Grande - PB, 58388-000"
"R DR. FRANCISCO MONTENEGRO - CENTRO, Alagoa Grande - PB, 58388-000",-35.6337659,-7.0359591,"R DR. FRANCISCO MONTENEGRO - CENTRO, Alagoa Grande - PB, 58388-000"
"R.MONS.BORGES CARVALHO,16 - CENTRO, Alagoa Nova - PB, 58125-000",-35.7594152,-7.0593374,"R.MONS.BORGES CARVALHO,16 - CENTRO, Alagoa Nova - PB, 58125-000"
"PCA.BARAO DO RIO BRANCO,S/N - CENTRO, Alagoinha - PE, 55260-000",-36.7754931,-8.4663395,"PCA.BARAO DO RIO BRANCO,S/N - CENTRO, Alagoinha - PE, 55260-000"
"PCA.GRACILIANO DE FREITAS,22 - CENTRO, Alagoinhas - BA, 48010-110",-38.4246451,-12.1386562,"PCA.GRACILIANO DE FREITAS,22 - CENTRO, Alagoinhas - BA, 48010-110"
"R.LUIS VIANA,401 - CENTRO, Alagoinhas - BA, 48005-470",-38.4244526,-12.1441784,"R.LUIS VIANA,401 - CENTRO, Alagoinhas - BA, 48005-470"
"RUA MILTON ORNELAS, NUM 78 - CENTRO, Alagoinhas - BA, 48005-220",-38.4261916,-12.1386163,"RUA MILTON ORNELAS, NUM 78 - CENTRO, Alagoinhas - BA, 48005-220"
"RUA DANTAS BIAO, NUM 360 - ALAGOINHAS VELHA, Alagoinhas - BA, 48030-030",-38.4142207,-12.1383312,"RUA DANTAS BIAO, NUM 360 - ALAGOINHAS VELHA, Alagoinhas - BA, 48030-030"
"PRACA DR MILTON JOSE ORNELAS, S/N - CENTRO, Alagoinhas - BA, 48005-220",-38.4244597,-12.139305,"PRACA DR MILTON JOSE ORNELAS, S/N - CENTRO, Alagoinhas - BA, 48005-220"
"PRAÇA DA BANDEIRA, 61 - CENTRO, Alagoinhas - BA, 48005-170",-38.4238785,-12.1385234,"PRAÇA DA BANDEIRA, 61 - CENTRO, Alagoinhas - BA, 48005-170"
"RUA CONSELHEIRO FRANCO, 385 - CENTRO, Alagoinhas - BA, 48010-010",-38.4216036,-12.1348786,"RUA CONSELHEIRO FRANCO, 385 - CENTRO, Alagoinhas - BA, 48010-010"
"RUA CEL ANISIO CARDOSO, 17 - CENTRO, Alagoinhas - BA, 48100-000",-38.424384,-12.137256,"RUA CEL ANISIO CARDOSO, 17 - CENTRO, Alagoinhas - BA, 48100-000"
"PCA.GRACILIANO FREITAS, 76 - CENTRO, Alagoinhas - BA, 48000-000",-38.418984,-12.1371426,"PCA.GRACILIANO FREITAS, 76 - CENTRO, Alagoinhas - BA, 48000-000"
"PCA RUI BARBOSA, 143 - CENTRO, Alagoinhas - BA, 48010-130",-38.4199597,-12.1369646,"PCA RUI BARBOSA, 143 - CENTRO, Alagoinhas - BA, 48010-130"
"RUA DESEMBARGADOR MELO ROCHA, NUM 254 - CENTRO, Alcobaça - BA, 45990-000",-39.1929112,-17.5382922,"RUA DESEMBARGADOR MELO ROCHA, NUM 254 - CENTRO, Alcobaça - BA, 45990-000"
"RUA LUIS DOMINGUES S/N. - CENTRO, Alcântara - MA, 65250-000",-44.4065746,-2.3961038,"RUA LUIS DOMINGUES S/N. - CENTRO, Alcântara - MA, 65250-000"
"RUA JOAO ADILO SPOHR, 81 - CENTRO, Alecrim - RS, 98950-000",-54.7660278,-27.6574,"RUA JOAO ADILO SPOHR, 81 - CENTRO, Alecrim - RS, 98950-000"
"AV.JERONIMO MONTEIRO,38/64 - CENTRO, Alegre - ES, 29500-000",-41.5315518,-20.7630011,"AV.JERONIMO MONTEIRO,38/64 - CENTRO, Alegre - ES, 29500-000"
"RUA DR. CHACON, NUM 6 - CENTRO, Alegre - ES, 29500-000",-41.5303648,-20.7634415,"RUA DR. CHACON, NUM 6 - CENTRO, Alegre - ES, 29500-000"
"RUA FRANCISCO TEIXEIRA, Nº 03 - CENTRO, Alegre - ES, 29500-000",-41.531389,-20.7619829,"RUA FRANCISCO TEIXEIRA, Nº 03 - CENTRO, Alegre - ES, 29500-000"
"PRACA 6 DE JANEIRO, 50 - CENTRO, Alegre - ES, 29500-000",-41.5317001,-20.7627345,"PRACA 6 DE JANEIRO, 50 - CENTRO, Alegre - ES, 29500-000"
"R.GAL.VITORINO,272 - CENTRO, Alegrete - RS, 97542-310",-55.7940586,-29.7820807,"R.GAL.VITORINO,272 - CENTRO, Alegrete - RS, 97542-310"
